GPU,Score,Price,Playable Games,Unplayable Games,Percent Playable
Radeon R9 270 / R7 370,4260,213.16,1819,2388,43.23746137390064
Radeon RX 460,4113,166.81,1819,2388,43.23746137390064
FirePro W8000,4096,573.0,1809,2398,42.999762300927024
GeForce GTX 480,4040,169.99,1809,2398,42.999762300927024
GeForce GTX 660,3997,167.95,1798,2409,42.73829332065605
Quadro K5000,3983,249.0,1681,2526,39.95721416686475
Quadro M2000,3975,264.24,1681,2526,39.95721416686475
GeForce GTX 570,3930,149.99,1681,2526,39.95721416686475
GeForce GTX 750 Ti,3903,88.11,1675,2532,39.81459472308058
Radeon HD 8970M,3876,139.99,1635,2572,38.86379843118612
Intel Arc A310,3876,109.99,1635,2572,38.86379843118612
GeForce GTX 780M,3872,499.0,1635,2572,38.86379843118612
Radeon HD 7850,3856,169.99,1635,2572,38.86379843118612
P104-100,3807,299.99,1614,2593,38.36463037794153
Radeon Pro WX 4100,3765,499.99,1612,2595,38.3170905633468
Barco MXRT 7500,3753,299.0,1612,2595,38.3170905633468
Radeon RX 560,3646,196.99,1611,2596,38.29332065604944
T400,3620,179.99,1595,2612,37.913002139291656
Quadro P620,3596,574.55,1593,2614,37.865462324696935
Quadro K2200,3549,268.3,1593,2614,37.865462324696935
GRID K520,3516,149.99,1593,2614,37.865462324696935
Tesla M10,3490,2695.0,1593,2614,37.865462324696935
Quadro M2000M,3449,213.16,1591,2616,37.81792251010221
Quadro K2200M,3441,124.95,1590,2617,37.79415260280485
GeForce GTX 960M,3398,1169.0,1590,2617,37.79415260280485
GeForce GTX 750,3361,79.99,1590,2617,37.79415260280485
GeForce GTX 590,3341,435.0,1531,2676,36.39172807226052
Quadro P600,3266,212.81,1529,2678,36.34418825766579
GeForce 770M,3246,176.99,1529,2678,36.34418825766579
GeForce GTX 680M,3206,135.99,1529,2678,36.34418825766579
Quadro K5100M,3189,1108.84,1529,2678,36.34418825766579
Tesla C2050,3176,269.99,1529,2678,36.34418825766579
Radeon R7 260X,3173,139.99,1529,2678,36.34418825766579
Radeon Pro 555,3141,1049.0,1518,2689,36.08271927739482
Radeon Pro 455,3113,449.0,1518,2689,36.08271927739482
Radeon HD 7790,3090,139.99,1518,2689,36.08271927739482
GeForce GTX 470,3085,59.99,1509,2698,35.86879011171856
Radeon R7 360,3062,145.99,1493,2714,35.48847159496078
GeForce GTX 560 Ti,3035,129.99,1490,2717,35.4171618730687
Radeon R9 360,3032,133.89,1480,2727,35.17946280009508
GeForce GTX 860M,3028,114.0,1480,2727,35.17946280009508
Tesla C2075,3017,646.0,1479,2728,35.15569289279772
Radeon HD 6990,3013,498.49,1479,2728,35.15569289279772
FirePro W5100,2980,125.99,1479,2728,35.15569289279772
FirePro W5000,2965,184.0,1479,2728,35.15569289279772
Quadro K1200,2902,285.29,1479,2728,35.15569289279772
Quadro M1000M,2895,85.99,1479,2728,35.15569289279772
Radeon R7 260,2892,89.99,1479,2728,35.15569289279772
Tesla C2070,2840,604.0,1477,2730,35.108153078202996
Radeon HD 6970,2833,149.99,1477,2730,35.108153078202996
FirePro W4300,2821,239.99,1470,2737,34.94176372712147
FirePro 3D V9800,2812,2499.0,1470,2737,34.94176372712147
GeForce GTX 770M,2765,138.0,1469,2738,34.9179938198241
Quadro K5000M,2763,508.91,1469,2738,34.9179938198241
GRID K2,2737,4449.99,1469,2738,34.9179938198241
FirePro S7150,2727,1697.99,1469,2738,34.9179938198241
FirePro V9800,2727,474.0,1469,2738,34.9179938198241
GeForce GTX 560,2721,205.0,1469,2738,34.9179938198241
Quadro K4000,2713,270.0,1370,2837,32.56477299738531
Barco MXRT 5500,2702,299.0,1370,2837,32.56477299738531
Radeon RX 550,2702,223.99,1370,2837,32.56477299738531
Quadro 6000,2701,4092.38,1356,2851,32.23199429522225
GeForce GTX 465,2679,195.0,1352,2855,32.1369146660328
FirePro R5000,2647,109.99,1351,2856,32.11314475873544
Quadro K4100M,2627,261.29,1351,2856,32.11314475873544
Radeon HD 6950,2627,139.99,1351,2856,32.11314475873544
GeForce GTX 950M,2583,567.0,1343,2864,31.92298550035655
GeForce GTX 650 Ti,2530,93.05,1343,2864,31.92298550035655
GeForce GT 1030,2483,110.44,1330,2877,31.61397670549085
