GPU,Score,Price
T600 Laptop GPU,7094,0.0
A10-8Q,7042,0.0
Quadro M5000M,7025,546.92
GeForce RTX 3050 4GB Laptop GPU,7011,0.0
RTX A500 Laptop GPU,7003,0.0
Ryzen 7 4800HS with Radeon Graphics,6999,0.0
RadeonT 780M,6995,0.0
GeForce GTX 1650 (Mobile),6969,0.0
Radeon Pro W5500X,6967,0.0
Quadro T2000 with Max-Q Design,6944,0.0
Quadro P2000,6906,439.6
Ryzen 7 6800HS with Radeon Graphics,6867,0.0
Radeon Pro 5500M,6816,0.0
GeForce GTX 970XM FORCE,6707,0.0
Radeon R9 285,6680,0.0
Quadro M4000,6664,362.0
Quadro T1000 with Max-Q Design,6662,0.0
Quadro P3000,6609,0.0
Quadro T1000,6594,375.94
Radeon Pro WX 7130,6578,0.0
Radeon RX Vega M GH,6576,0.0
Radeon Ryzen 7 6800HS,6567,0.0
AMD Ryzen Z1 Extreme,6547,0.0
Radeon RX 6300,6545,0.0
T600,6467,239.99
GeForce GTX 1650 Ti with Max-Q Design,6423,0.0
P106-100,6400,0.0
Radeon Pro 570,6337,0.0
Ryzen 9 6900HS with Radeon Graphics,6331,0.0
GeForce GTX 1050 Ti,6306,283.99
Quadro M4000M,6266,254.91
Radeon R9 380X,6236,349.99
Radeon R9 280X,6233,0.0
Tesla K80,6210,593.95
Radeon R9 380,6207,89.99
Radeon 680M Ryzen 7 7735HS,6180,0.0
GeForce MX570 A,6171,0.0
FirePro W9000,6138,845.0
Radeon PRO W6300,6137,0.0
GeForce GTX 1650 with Max-Q Design,6126,0.0
GeForce GTX 960,6046,172.0
Quadro K5200,6034,415.0
GeForce MX570,6021,0.0
Radeon Pro 5300M,5996,0.0
GRID P100-16Q,5945,0.0
GeForce GTX 1050 Ti (Mobile),5919,0.0
GeForce GTX 770,5913,249.0
Ryzen 9 PRO 6950H with Radeon Graphics,5828,0.0
A16,5797,0.0
Radeon Ryzen 7 7736U,5790,0.0
Ryzen 9 PRO 6950H,5759,0.0
Radeon Ryzen 7 PRO 6850H,5757,0.0
GeForce GTX 970M,5724,209.99
Radeon PRO Ryzen 7 PRO 6850U,5691,0.0
Radeon Ryzen 7 7735H,5609,0.0
Radeon Pro WX 5100,5606,359.99
Radeon R9 280,5585,0.0
Ryzen 7 PRO 6850U,5581,0.0
GeForce GTX 690,5579,280.99
NVIDIA A40-12Q,5573,0.0
Ryzen 9 5900HS with Radeon Graphics,5570,0.0
Radeon HD 7990,5566,399.99
Radeon R9 285 / 380,5550,485.0
GeForce GTX 680,5543,399.0
GRID M60-8A,5523,0.0
Radeon Ryzen 9 7950X 16-Core,5515,0.0
Quadro M3000M,5509,159.95
Radeon Ryzen 7 6800H,5442,0.0
GeForce GTX 760 Ti OEM,5427,0.0
Ryzen 9 6900HX,5416,0.0
Radeon Ryzen 7 7735HS,5416,0.0
Radeon RX 5500M,5415,0.0
Radeon 760M,5413,0.0
Radeon Ryzen 7 6800HS Creator Edition,5386,0.0
GeForce GTX 1050 Ti with Max-Q Design,5384,0.0
GRID P40-4Q,5365,0.0
Ryzen 7 6800HS Creator Edition,5345,0.0
GeForce GTX 950,5344,141.99
FirePro W7100,5326,389.3
GeForce GTX 670,5315,193.98
Ryzen 7 7735HS with Radeon Graphics,5307,0.0
Radeon Pro Vega 20,5300,0.0
Radeon Ryzen 9 6900HX,5276,0.0
Radeon HD 7970 / R9 280X,5248,246.99
Ryzen 7 6800H,5248,0.0
Ryzen 7 6800HS,5237,0.0
Intel Arc Pro A40/A50,5224,0.0
Radeon HD 8990,5214,0.0
Radeon Ryzen 7 PRO 6850HS,5212,0.0
GRID M60-2Q,5203,0.0
Radeon R9 M395X,5195,0.0
GeForce GTX 760 Ti,5191,297.5
Radeon Ryzen 7 PRO 6850U,5181,0.0
Q12U-1,5164,0.0
Radeon R9 M295X,5150,1449.0
Quadro P2000 with Max-Q Design,5147,0.0
GeForce GTX 1050 3GB,5141,0.0
Radeon Ryzen 7 7735U,5130,0.0
Ryzen 7 PRO 6860Z,5077,0.0
Ryzen 9 PRO 6950HS with Radeon Graphics,5068,0.0
FirePro S9000,5059,0.0
GRID T4-16Q,5055,0.0
GeForce GTX 1050,5049,239.0
EIZO Quadro MED-XN51LP,5048,0.0
Ryzen 7 PRO 6850U with Radeon Graphics,5043,0.0
Radeon R9 M395,5024,0.0
Ryzen 7 6800U,5006,0.0
GeForce GTX 1630,5004,189.99
Radeon Instinct MI25 MxGPU,4979,0.0
Barco MXRT 7600,4944,602.59
Ryzen 7 6800H with Radeon Graphics,4922,0.0
Radeon R9 270X,4914,326.5
FirePro S9050,4901,0.0
Ryzen 7 6800U with Radeon Graphics,4845,0.0
GRID P40-2Q,4844,0.0
T550 Laptop GPU,4834,0.0
Radeon Ryzen 7 4800HS,4818,0.0
Ryzen 7 PRO 6860Z with Radeon Graphics,4789,0.0
GeForce GTX 760,4783,149.0
GRID RTX6000P-6Q,4777,0.0
FirePro S10000,4768,0.0
Radeon HD 7950 / R9 280,4765,132.2
Intel Arc A380,4764,0.0
Radeon Sky 500,4764,0.0
GRID P40-24Q,4728,0.0
Radeon R9 370,4722,159.99
Radeon Pro Vega 16,4683,0.0
Ryzen 9 6900HX with Radeon Graphics,4680,0.0
GRID V100D-2Q,4668,0.0
Radeon Pro WX Vega M GL,4643,0.0
Radeon HD 7870,4639,176.0
Radeon Ryzen 7 PRO 6860Z,4637,0.0
A16-2Q,4583,0.0
GeForce MX550,4582,0.0
Radeon Ryzen 9 PRO 6950HS,4558,0.0
B8DKMDAP,4557,0.0
Radeon Ryzen 7 6800U,4548,0.0
GeForce GTX 580,4545,139.92
Radeon Eng Sample: 100-000000561-40_Y,4544,0.0
Radeon Pro 465,4538,0.0
FirePro S7000,4524,246.54
GRID T4-8Q,4519,0.0
Radeon R7 370,4514,0.0
Tesla K40c,4495,0.0
Radeon HD 7870 XT,4470,0.0
GeForce GTX 1050 (Mobile),4462,0.0
GRID M60-1B,4457,0.0
Citrix Indirect Display Adapter,4447,0.0
Quadro P1000,4437,289.99
GRID P6-4Q,4429,0.0
GeForce GTX 660 Ti,4386,144.0
FirePro W7000 Adapter,4362,0.0
GRID GTX P40-6,4340,0.0
Tesla K20m,4331,0.0
Quadro K4200,4319,249.0
Radeon RX 5300M,4307,0.0
Radeon R9 270,4306,0.0
Quadro M2200,4301,249.99
GRID RTX6000P-4Q,4283,0.0
FirePro W7000,4261,278.05
Radeon R9 270 / R7 370,4260,213.16
RTXA6000-8Q,4237,0.0
NVIDIA A40-4Q,4230,0.0
NVIDIA A40-8Q,4220,0.0
RadeonT 680M Ryzen 7 7735HS,4159,0.0
GRID V100D-8Q,4156,0.0
Radeon Ryzen 5 7535HS,4156,0.0
GeForce GTX 680MX,4142,0.0
Radeon RX 460,4113,166.81
FirePro W8000,4096,573.0
Radeon 660M Ryzen 5 7535HS,4078,0.0
Radeon PRO Ryzen 5 PRO 6650U,4067,0.0
RadeonT 660M Ryzen 5 7535HS,4042,0.0
GeForce GTX 480,4040,169.99
Radeon HD 7800-serie,4029,0.0
Radeon Ryzen 5 6600H,4014,0.0
GeForce GTX 1050 with Max-Q Design,3997,0.0
GeForce GTX 660,3997,167.95
Quadro K5000,3983,249.0
Quadro M2000,3975,264.24
A40-24Q,3973,0.0
GRID RTX8000-4Q,3961,0.0
GeForce GTX 570,3930,149.99
GRID P6-2Q,3926,0.0
GeForce GTX 750 Ti,3903,88.11
GRID M60-8Q,3884,0.0
